price,meter,surface
6600000.0,57894.7368421053,118.0
6100000.0,67763.15789473685,89.0
7250000.0,72115.3846153846,98.0
5000000.0,62500.0,83.0
6800000.0,74358.9743589744,94.0
3500000.0,65625.0,58.0
8700000.0,75000.0,120.0
4450000.0,59259.2592592593,74.0
3650000.0,64885.4961832061,60.0
8800000.0,75892.8571428571,112.0
23700000.0,132978.723404255,182.0
1950000.0,32758.6206896552,59.0
8500000.0,79093.4771443246,97.0
3700000.0,51713.1327953045,71.0
2850000.0,47058.8235294118,58.0
2750000.0,45454.5454545455,65.0
1020000.0,18732.142857142848,60.0
1180000.0,22452.8301886792,55.0
1050000.0,14583.333333333301,72.0
,,
4000000.0,68041.2371134021,56.0
5225000.0,63928.5714285714,80.0
4740000.0,55469.208211143705,91.0
1900000.0,27678.571428571402,72.0
3800000.0,63492.0634920635,62.0
5000000.0,39772.7272727273,125.0
,,
3700000.0,64788.7323943662,62.0
2800000.0,50000.0,60.0
2800000.0,50000.0,60.0
3000000.0,52083.3333333333,59.0
9000000.0,78494.62365591401,112.0
680000.0,13333.333333333301,66.5
4200000.0,62814.2677561282,72.5
7300000.0,78726.85185185185,88.0
,,
14000000.0,107382.55033557,135.0
2700000.0,42857.1428571429,64.0
6300000.0,67678.79692343014,86.0
3200000.0,45614.0350877193,74.0
9990000.0,89119.170984456,119.0
3000000.0,43678.1609195402,80.0
6500000.0,58434.9593495935,115.0
5600000.0,74000.0,90.0
1850000.0,29000.0,68.0
5850000.0,61702.1276595745,91.0
3125000.0,44618.72586872585,74.0
,,
4180000.0,50000.0,83.0
3160000.0,45283.018867924504,74.0
2400000.0,25490.1960784314,89.0
3690000.0,69851.89693649829,53.0
2300000.0,30735.2941176471,67.0
5780000.0,46721.311475409806,127.0
7700000.0,83870.9677419355,98.0
7700000.0,83870.9677419355,98.0
3000000.0,39655.1724137931,77.0
6900000.0,87500.0,77.0
2600000.0,58181.818181818206,45.0
4300000.0,62121.2121212121,67.0
11500000.0,93617.0212765957,130.0
20000000.0,88235.2941176471,235.5
7800000.0,76043.47826086955,100.0
14200000.0,91503.26797385619,158.0
2300000.0,33116.21779859485,67.0
4950000.0,57142.8571428571,87.0
3500000.0,71568.6274509804,51.0
3200000.0,70588.2352941177,47.0
4500000.0,63636.3636363636,75.0
8500000.0,75257.7319587629,131.0
5880000.0,76162.7906976744,85.0
7800000.0,70312.5,108.0
1550000.0,20652.1739130435,77.0
910000.0,21428.5714285714,66.0
1700000.0,38571.4285714286,47.0
9300000.0,79508.1967213115,117.0
5150000.0,61143.7908496732,90.0
3750000.0,37500.0,99.0
3500000.0,55966.10169491525,63.0
4500000.0,58333.3333333333,76.0
4250000.0,44137.931034482805,89.0
